ht, bear, bid, cmd, dt
17.2585830688, -0.418656855822, 4, 0, 0.0333333350718
17.2910346985, -0.370056778193, 4, 0, 0.0333333350718
17.3281116486, -0.302797496319, 4, 0, 0.0333333350718
17.3628158569, 0.00753195956349, 4, 0, 0.0333333350718
17.3992023468, 0.0596904344857, 4, 0, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
17.4526882172, 0.200721219182, 4, 1, 0.0333333350718
17.4783477783, 0.313933372498, 4, 1, 0.0333333350718
17.5078125, 0.219897642732, 4, 1, 0.0333333350718
17.5289344788, 0.382055521011, 4, 1, 0.0333333350718
17.5527000427, 0.306931316853, 4, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
17.5879859924, 0.258324801922, 4, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
17.6159057617, 0.367084145546, 4, 1, 0.0333333350718
17.6304359436, 0.35789218545, 4, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
29.1326065063, -0.42720246315, 2, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
29.1714458466, -0.0797338038683, 2, 1, 0.0333333350718
29.1872272491, 0.124475568533, 2, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
29.2016544342, 0.283673077822, 2, 1, 0.0333333350718
29.2044525146, 0.3001524508, 2, 1, 0.0333333350718
29.2037162781, 0.198498547077, 2, 1, 0.0333333350718
29.1988582611, 0.226597607136, 2, 1, 0.0333333350718
29.1926193237, 0.215667843819, 2, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
29.1698970795, 0.313192278147, 2, 1, 0.0333333350718
29.1521282196, 0.308693349361, 2, 1, 0.0333333350718
29.134141922, 0.39189222455, 2, 1, 0.0333333350718
29.1127243042, 0.402316987514, 2, 1, 0.0333333350718
16.8277015686, -0.509954988956, 0, 1, 0.0333333350718
16.8194007874, -0.37835791707, 0, 1, 0.0333333350718
16.8101596832, -0.258505940437, 0, 1, 0.0333333350718
16.7982845306, -0.0715921893716, 0, 1, 0.0333333350718
16.7880516052, 0.0384483225644, 0, 1, 0.0333333350718
16.7745304108, 0.144228488207, 0, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
16.7504673004, 0.263266086578, 0, 1, 0.0333333350718
16.7372131348, 0.271038800478, 0, 1, 0.0333333350718
16.7223720551, 0.367871433496, 0, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
16.6916732788, 0.203008979559, 0, 1, 0.0333333350718
16.6757011414, 0.315887600183, 0, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
16.6440372467, 0.32064884901, 0, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
16.6054363251, 0.34183883667, 0, 1, 0.0333333350718
16.5905437469, 0.581085264683, 0, 1, 0.0333333350718
17.6380138397, -0.441627174616, 1, 1, 0.0333333350718
17.6181869507, -0.271345436573, 1, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
17.5781536102, -0.039565205574, 1, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
17.5307273865, 0.0611212514341, 1, 1, 0.0333333350718
17.5043621063, 0.143204882741, 1, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
17.4297981262, 0.156926825643, 1, 1, 0.0333333350718
17.4085998535, 0.194523826241, 1, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
17.364156723, 0.214858323336, 1, 1, 0.0333333350718
17.333656311, 0.253572195768, 1, 1, 0.0333333350718
17.3101863861, 0.307358890772, 1, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
17.2643375397, 0.554118335247, 1, 1, 0.0333333350718
34.6046600342, -0.278876394033, 3, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
34.2651405334, 0.167360424995, 3, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
34.0408287048, 0.240893095732, 3, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
33.8104820251, 0.195210337639, 3, 1, 0.0333333350718
33.6938247681, 0.254799127579, 3, 1, 0.0333333350718
33.5652427673, 0.110499545932, 3, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
33.2141075134, 0.256994098425, 3, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
33.0133056641, 0.385300666094, 3, 1, 0.0333333350718
32.9098548889, 0.515541732311, 3, 1, 0.0333333350718
18.9558849335, -0.308118343353, 5, 1, 0.0333333350718
18.9211940765, -0.217724055052, 5, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
18.8463459015, -0.0762916505337, 5, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
18.7740745544, 0.063100233674, 5, 1, 0.0333333350718
18.7350273132, -0.00697202421725, 5, 1, 0.0333333350718
18.6929206848, -0.0622689984739, 5, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
18.6110153198, -0.00768575305119, 5, 1, 0.0333333350718
-1000, -1000, -1000, 1, 0.0333333350718
18.5387248993, 0.0281398631632, 5, 1, 0.0333333350718
-1000, -1000, -1000, 2, 0.0333333350718
-1000, -1000, -1000, 2, 0.0333333350718
18.4375705719, 0.245011210442, 5, 2, 0.0333333350718
18.4054031372, 0.448678940535, 5, 2, 0.0333333350718
-1000, -1000, -1000, 2, 0.0333333350718
18.3333930969, -0.422437727451, 4, 2, 0.0333333350718
18.3142223358, -0.328793615103, 4, 2, 0.0333333350718
18.2913990021, -0.352114260197, 4, 2, 0.0333333350718
-1000, -1000, -1000, 2, 0.0333333350718
-1000, -1000, -1000, 2, 0.0333333350718
18.2357196808, -0.202896818519, 4, 2, 0.0333333350718
18.2202644348, -0.180930554867, 4, 2, 0.0333333350718
18.2051105499, -0.15825855732, 4, 2, 0.0333333350718
18.1928749084, -0.248433575034, 4, 2, 0.0333333350718
18.1825714111, -0.250180095434, 4, 2, 0.0333333350718
18.1737270355, -0.200689256191, 4, 2, 0.0333333350718
-1000, -1000, -1000, 2, 0.0333333350718
18.1594390869, -0.167122200131, 4, 2, 0.0333333350718
-1000, -1000, -1000, 2, 0.0333333350718
-1000, -1000, -1000, 2, 0.0333333350718
-1000, -1000, -1000, 2, 0.0333333350718
18.1483764648, 0.395244508982, 4, 2, 0.0333333350718
-1000, -1000, -1000, 2, 0.0333333350718
31.4038162231, -0.416483938694, 2, 2, 0.0333333350718
